Run1,Run2,Run3,Run4
"-0.045
(2.285)","29.725
(7.679)","-1.302
(2.575)","0.183
(2.407)"
"-12.097
(1.682)","-16.232
(2.085)","-12.871
(1.779)","-12.204
(2.345)"
"-0.693
(0.052)","-1.129
(0.129)","-0.690
(0.052)","-0.696
(0.403)"
"1.632
(0.238)","0.364
(0.418)","1.492
(0.270)","1.640
(0.242)"
"250.878
(31.908)","400.946
(57.757)","259.916
(34.494)","249.663
(47.608)"
"0.892
(8.618)","-71.029
(20.590)","4.243
(10.486)","-0.228
(9.735)"
"0.995
(0.646)","-2.875
(1.181)","1.423
(0.822)","0.873
(0.936)"
"-21.033
(3.969)","-47.261
(7.818)","-18.541
(4.539)","-21.258
(4.098)"
"-0.137
(0.023)","-0.146
(0.029)","-0.147
(0.033)","-0.138
(0.029)"
"69.466
(4.037)","68.672
(4.918)","72.476
(5.346)","69.448
(4.028)"
"86.208
(10.907)","88.751
(10.939)","91.460
(13.461)","87.006
(14.382)"
"120.230
(13.732)","120.803
(13.876)","127.801
(17.879)","121.433
(21.234)"
"-96.051
(40.917)","-1088.383
(241.935)","-73.010
(47.287)","-99.471
(42.869)"
"-21.089
(12.090)","-361.800
(84.502)","-21.281
(11.855)","-21.488
(11.466)"
"190.638
(14.184)","185.630
(18.064)","187.142
(19.247)","192.278
(15.736)"
"144.598
(24.027)","73.074
(42.366)","151.008
(26.008)","143.284
(25.295)"
"-62.719
(15.615)","-82.432
(21.459)","-56.774
(15.963)","-65.381
(32.718)"
"-79.259
(14.672)","-42.219
(20.824)","-70.323
(17.865)","-78.454
(17.471)"
"20.516
(11.495)","-35.785
(17.995)","26.088
(13.922)","20.727
(11.801)"
,"0.386
(0.092)",,
"0.117
(3.245)","0.202
(4.223)","-0.169
(9.625)","0.341
(3.387)"
"0.009
(0.008)","-0.001
(0.333)","0.015
(0.014)","-0.020
(0.091)"
"0.025
(1.431)","-0.003
(10.507)","0.043
(1.694)","0.018
(1.645)"
,,,"0.017
(2.446)"
,,,"0.003
(0.018)"
,,,"0.011
(0.383)"
742.131,649.372,668.051,752.106
